grower_id,receptivity_score,predicted_score
GRW_00001,0.0,0.0001932534974172579
GRW_00002,0.0,0.0014213664534989037
GRW_00003,0.0,0.00042475333723787005
GRW_00004,0.0,0.002444283021748653
GRW_00005,0.0,0.005379879964446232
GRW_00008,0.0,0.0001920286027416889
GRW_00009,0.0,0.00019888983353845587
GRW_00010,0.0,0.0015940774751613096
GRW_00011,0.0,0.0006060198429005153
GRW_00013,0.0,0.0007259094455888076
GRW_00016,0.0,0.0012800640430447288
GRW_00017,1.0,0.9734495606888474
GRW_00018,0.0,0.00045710943205518924
GRW_00019,0.0,0.013781716681378193
GRW_00020,1.0,0.9936133757215083
GRW_00021,0.0,0.0008266818812555113
GRW_00023,1.0,0.9360114959880115
GRW_00024,0.0,0.0018505469497534783
GRW_00026,0.0,0.04470590198063056
GRW_00027,0.0,0.0011972323393213912
GRW_00029,0.0,0.0005476335684797143
GRW_00031,0.0,0.20701106612774323
GRW_00033,0.0,0.011761213352183253
GRW_00034,0.0,0.0002747196229445713
GRW_00035,0.0,0.009280749628947326
GRW_00036,1.0,0.991332984360008
GRW_00037,0.0,0.5125513329697138
GRW_00038,0.0,0.5504624784480442
GRW_00040,0.0,0.007845934767755313
GRW_00041,0.0,0.5953560558380424
GRW_00042,0.0,0.0028951179988423435
GRW_00043,0.0,0.002015898472094991
GRW_00045,0.0,0.0012049470914675467
GRW_00046,0.0,9.091302196853816e-05
GRW_00047,0.0,0.00240872929646357
GRW_00048,0.0,0.001088938321727877
GRW_00049,0.0,0.005218672850115439
GRW_00050,0.0,0.00220780405024512
GRW_00051,0.0,0.0013786167114573239
GRW_00052,0.0,0.0058013286678513356
GRW_00053,0.0,6.873758644689001e-05
GRW_00054,0.0,0.00010628310108548479
GRW_00055,0.0,0.000520774727737953
GRW_00056,0.0,0.0011996034240793884
GRW_00057,0.0,0.8240409098340016
GRW_00058,0.0,0.002090900434598384
GRW_00059,1.0,0.966352594746331
GRW_00061,0.0,0.0021690137950184955
GRW_00062,0.0,0.0006215279588951478
GRW_00063,0.0,4.911912598479775e-05
GRW_00064,0.0,0.0012686117208621868
GRW_00065,0.0,0.0005120351004734084
GRW_00066,0.0,0.0008410622006525491
GRW_00067,0.0,0.0007325487092197178
GRW_00068,1.0,0.9783887325243502
GRW_00069,0.0,0.0006682155051718171
GRW_00072,0.0,0.00033727520630497283
GRW_00073,0.0,0.004859285688226813
GRW_00075,0.0,0.0013657234999259215
GRW_00076,0.0,0.0009197367758504709
GRW_00077,1.0,0.9773849575722988
GRW_00078,0.0,0.0006498069961822769
GRW_00079,0.0,9.035924923723868e-05
GRW_00080,0.0,0.0038113854550628707
