grower_id,campaign_id,segment_id,channel,time_slot,creative_variant,content_text,content_format,language,receptivity_score,ucb_score,stock_rate,weather_risk_score,pest_pressure_index,composite_urgency,tts_audio_url,generated_at,send_scheduled_at,is_emergency,dispatch_status,delivery_status,opened_status,clicked_status,purchased_status,bandit_arm,reward
GRW_03733,CMP_RABI25_PIPELINE_RUN,SEG_0025,whatsapp_rich,midday_12_14,demo_invite,"ਸਤ ਸ੍ਰੀ ਅਕਾਲ ਕਿਸਾਨ ਭਾਈ! 🌾

ਤੁਹਾਡੀ ਕਣਕ ਦੀ ਫਸਲ (Wheat) ਵੇਗਟੇਟਿਵ ਸਟੇਜ ਵਿੱਚ ਚੰਗੀ ਤਰ੍ਹਾਂ ਵਧ ਰਹੀ ਹੋਵੇਗੀ। ਪਰ ਇਸ ਸਮੇਂ ਸਾਨੂੰ ਪੀਲੇ ਰਸਟ (Yellow Rust) ਦੇ ਖਤਰੇ ਵੱਲ ਧਿਆਨ ਦੇਣਾ ਪਵੇਗਾ।

ਰਸਟ ਨੂੰ ਰੋਕਣ ਲਈ, ਤੁਹਾਨੂੰ ਪਹਿਲੇ ਹੀ ਨਿਸ਼ਾਨ ਨਜ਼ਰ ਆਉਣ 'ਤੇ ਜਾਂ ਰੋਕਥਾਮ ਲਈ ਇੱਕ ਵਾਰ ਫੰਗੀਸਾਈਡ ਸਪਰੇਅ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ।

ਸਹੀ ਨਤੀਜੇ ਲਈ, ਸਾਨੂੰ ਸਲਾਹ ਹੈ ਕਿ ਤੁਸੀਂ 200 ml/ਏਕੜ ਦੀ ਖੁਰਾਕ ਨਾਲ ਸਪਰੇਅ ਕਰੋ।

ਯਾਦ ਰੱਖੋ, ਅਸੀਂ ਤੁਹਾਡੇ ਨਾਲ ਇੱਕ ਸਿਰਫ਼ ਸਪਲਾਈਅਰ ਨਹੀਂ, ਸਗੋਂ ਇੱਕ ਭਰੋਸੇਮੰਦ ਸਾਥੀ ਹਾਂ। ਸਹੀ ਸਮੇਂ 'ਤੇ ਸਹੀ ਸਲਾਹ ਨਾਲ ਹੀ ਫਸਲ ਨੂੰ ਸੁਰੱਖਿਅਤ ਰੱਖਿਆ ਜਾ ਸਕਦਾ ਹੈ।

ਕੀ ਤੁਸੀਂ ਇਸ ਸਪਰੇਅ ਦੀ ਸਹੀ ਤਰੀਕ ਅਤੇ ਖੁਰਾਕ ਬਾਰੇ ਹੋਰ ਜਾਣਕਾਰੀ ਚਾਹੁੰਦੇ ਹੋ? ਕਿਰਪਾ ਕਰਕੇ 'YES' ਲਿਖ ਕੇ ਜਵਾਬ ਦਿਓ। 👇💧",whatsapp_rich,Punjabi,0.9829,0.5,1.0,0.3,0.3,0.27,,2026-05-20T04:07:37.452569,2026-05-20T13:00:00,False,pending,,,,,whatsapp_rich|midday_12_14|demo_invite,
GRW_00502,CMP_RABI25_PIPELINE_RUN,SEG_0050,whatsapp_rich,midday_12_14,product_benefit,"नमस्ते किसान भाई! 🌾

आपके गेहूँ के पौधे अभी तेजी से बढ़ रहे हैं, यह बहुत अच्छी बात है। लेकिन इस समय पीले रस्ट (Yellow Rust) और पाउडरी मिल्ड्यू (Powdery Mildew) का खतरा बना रहता है।

आपकी फसल को सुरक्षित रखने के लिए, हमारा सुझाव है कि आप जल्द से जल्द फंगस नियंत्रण करें।

✅ **उपाय:** 'टिल्ट 250 EC' का उपयोग करें।
⏰ **कब करें:** जैसे ही आपको पत्तों पर रस्ट के पहले लक्षण दिखें, या अगर अभी तक नहीं लगाया है तो तने निकलने (Tillering) के समय रोकथाम के तौर पर लगा दें।
🧪 **खुराक:** 200 मिलीलीटर प्रति एकड़, 200 लीटर पानी में घोलकर छिड़काव करें।

हम केवल एक विक्रेता नहीं, बल्कि आपके साथी हैं। इस समय सही सलाह से आपकी पूरी फसल सुरक्षित रहेगी। 🛡️

अधिक जानकारी और स्थानीय सलाह के लिए, बस 'YES' लिखकर जवाब दें।",whatsapp_rich,Hindi,0.9808,0.5,1.0,0.3,0.3,0.27,,2026-05-20T04:08:38.317700,2026-05-20T13:00:00,False,pending,,,,,whatsapp_rich|midday_12_14|product_benefit,
